DIRECTORIO,SECUENCIA_P,SECUENCIA_ENCUESTA,P3050,P3051,P639,P3052,CLASE_TE,COD_DEPTO,AREA,F_EXP
7628049,1,2,1,2,5,3,1,18,18,9.3913292911541
7628052,1,1,2,1,4,3,1,18,18,12.7497326177478
7628062,1,1,2,1,3,2,1,18,18,6.46562716232179
7628065,1,1,1,2,5,1,1,18,18,6.0317397310509
7628068,1,1,1,2,5,1,1,18,18,6.84349418142222
7628070,1,1,1,6,5,1,1,18,18,5.79314993252164
7628083,1,1,1,4,4,6,1,18,18,5.72666214896243
7628087,1,1,1,2,4,3,1,18,18,7.97465984355509
7628090,1,1,1,3,5,1,1,18,18,8.82475131398935
7628090,1,2,2,2,4,3,1,18,18,8.82475131398935
7628093,1,1,1,4,4,6,1,18,18,4.00304858421098
7628095,1,1,1,1,4,1,1,18,18,8.53160105451696
7628097,1,2,1,2,1,2,1,18,18,5.40246024139902
7628097,1,4,2,4,1,1,1,18,18,5.40246024139902
7628107,1,3,2,2,1,2,1,18,18,9.86757188980951
7628109,1,2,1,2,5,2,1,18,18,8.59203181759497
7628110,1,2,1,2,4,1,1,18,18,4.58824158274358
7628120,1,2,1,4,4,1,1,18,18,4.81275748074259
7628122,1,1,1,2,5,3,1,19,19,6.34345253825829
7628126,1,1,1,2,4,1,1,19,19,14.7692775017611
7628127,1,1,1,2,1,1,1,19,19,6.53156542869862
7628128,2,1,1,1,2,3,1,19,19,10.0241657459888
7628141,1,1,1,1,1,2,1,19,19,6.05240881800412
7628150,1,1,1,4,5,8,1,19,19,12.1928981161144
7628151,1,1,1,2,3,1,1,19,19,10.8309115698634
7628154,1,1,1,1,2,1,1,19,19,17.68777161791
7628160,2,1,1,1,5,1,1,19,19,17.3412801466733
7628161,1,2,1,4,4,1,1,19,19,18.0216312154675
7628167,1,1,1,2,4,1,1,19,19,8.42903452316149
7628175,1,1,1,1,3,3,1,19,19,5.37991894933699
7628179,1,1,1,5,5,1,1,19,19,15.712094597404
7628181,1,1,1,1,4,3,1,19,19,15.4716881464798
7628182,1,1,1,2,5,1,1,19,19,11.2064180893027
7628188,1,3,1,2,2,3,1,19,19,11.5672804549242
7628189,1,1,1,1,2,1,1,19,19,7.1905497458678
7628192,1,2,1,1,1,6,1,19,19,16.288682659002
7628192,1,3,1,1,4,1,1,19,19,16.288682659002
7628194,1,1,1,2,4,1,1,19,19,17.1889811699584
7628208,1,1,1,4,2,2,1,19,19,9.47742349254452
7628214,1,1,1,1,4,1,1,23,23,22.6254231628037
7628215,1,1,1,1,4,1,1,23,23,11.0299438717478
7628216,1,1,1,1,5,1,1,23,23,32.3317151719986
7628217,1,1,1,2,2,1,1,23,23,29.5689269820622
7628219,1,1,1,1,4,1,1,23,23,23.351467092484
7628220,1,2,1,2,3,1,1,23,23,9.8043945526647
7628220,1,4,1,2,2,1,1,23,23,9.8043945526647
7628222,1,1,1,2,5,1,1,23,23,9.8043945526647
7628222,1,2,2,4,2,1,1,23,23,9.8043945526647
7628224,2,2,2,1,5,6,1,23,23,34.783737523701
7628224,3,2,2,1,5,6,1,23,23,34.783737523701
7628228,1,1,1,6,4,6,1,23,23,38.8359253014433
7628231,1,2,1,1,3,6,1,23,23,44.0887025072708
7628232,1,1,1,1,4,1,1,23,23,23.5766935096263
7628233,1,1,1,1,1,6,1,23,23,35.0328637578421
7628233,1,2,1,1,2,1,1,23,23,35.0328637578421
7628234,1,1,1,1,2,1,1,23,23,15.0408325523833
7628234,1,2,1,1,4,2,1,23,23,15.0408325523833
7628236,1,2,5,2,5,,1,25,"",73.6585571763028
7628238,1,1,1,5,5,1,1,25,"",119.985190236192
7628239,1,2,1,4,2,1,1,25,"",245.427189456948
7628245,1,1,1,1,4,1,1,25,"",198.241781995883
7628246,1,1,1,2,3,1,1,27,27,2.29201216249533
7628253,1,1,1,1,2,1,1,27,27,5.687655586629
7628255,1,1,1,1,4,2,1,27,27,4.64132462905304
7628256,1,1,1,3,5,3,1,27,27,5.00381990540728
7628259,1,2,1,2,2,1,1,27,27,6.47872472828491
7628261,1,2,1,1,4,6,1,27,27,5.00921287721533
7628267,1,2,1,1,5,1,1,27,27,4.69448824216546
7628270,1,1,4,1,5,,1,27,27,3.73909375270795
7628271,1,2,1,3,4,3,1,27,27,4.39005747708325
7628275,1,1,1,1,4,1,1,27,27,3.71867202411833
7628281,1,1,1,1,2,1,1,27,27,4.45010157071217
7628282,1,2,1,1,2,1,1,27,27,2.8100779209147
7628288,1,1,1,1,5,1,1,27,27,2.29220370151451
